Tempo decorrido,E[N],E[W],Lambda,Erro Little
36580.00,311.4508171502,154.9923937009,2.0094587206,-0.00000000059191052060
36590.00,311.4078796265,154.9606875407,2.0095927849,-0.00000000059952753872
36600.00,311.3636394097,154.9388750991,2.0095901639,-0.00000000060788352130
36610.00,311.3189287439,154.9147227388,2.0096148593,-0.00000000058452087615
36620.00,311.2756335655,154.8786491826,2.0098033861,-0.00000000060401816881
36630.00,311.2317223013,154.8654212853,2.0096915097,-0.00000000060151705839
36640.00,311.1872238207,154.8350721875,2.0097980349,-0.00000000058241766965
36650.00,311.1425985004,154.8172778563,2.0097407913,-0.00000000058571458794
36660.00,311.0971146577,154.7990529131,2.0096835788,-0.00000000056030557971
36670.00,311.0515336524,154.7870774739,2.0095445869,-0.00000000057224269767
36680.00,311.0040095484,154.7699278258,2.0094601963,-0.00000000057701754486
36690.00,310.9547183970,154.7518937931,2.0093758517,-0.00000000058292926042
36700.00,310.9026862625,154.7408843031,2.0091825613,-0.00000000058525984059
36710.00,310.8489565042,154.7248236426,2.0090438573,-0.00000000058327032093
36720.00,310.7950637787,154.6918975530,2.0091230937,-0.00000000059668536778
36730.00,310.7412915765,154.6737087128,2.0090117071,-0.00000000061316995925
36740.00,310.6860773767,154.6422240370,2.0090636908,-0.00000000060919091993
36750.00,310.6325511994,154.6053015602,2.0091972789,-0.00000000060759930420
36760.00,310.5781395542,154.5909712673,2.0090315560,-0.00000000060208549257
36770.00,310.5236305496,154.5723979982,2.0089203155,-0.00000000060680349634
36780.00,310.4662229544,154.5565588409,2.0087547580,-0.00000000058969362726
36790.00,310.4080411585,154.5340509918,2.0086708345,-0.00000000059708327171
36800.00,310.3510822807,154.4766183971,2.0090489130,-0.00000000059151261667
36810.00,310.2945309933,154.4611909325,2.0088834556,-0.00000000059213789427
36820.00,310.2375715078,154.4351104959,2.0088538838,-0.00000000058315663409
36830.00,310.1793836746,154.4167651256,2.0087157209,-0.00000000057900706452
36840.00,310.1193420842,154.3912291031,2.0086590662,-0.00000000057076476878
36850.00,310.0592772111,154.3656776856,2.0086024423,-0.00000000056803628468
36860.00,309.9998843495,154.3446265468,2.0084915898,-0.00000000056337512433
36870.00,309.9402095714,154.3130084387,2.0085164090,-0.00000000055661075749
36880.00,309.8803796669,154.2709017567,2.0086767896,-0.00000000053665871746
36890.00,309.8198089400,154.2367648891,2.0087286528,-0.00000000054268411986
36900.00,309.7581012321,154.2332771389,2.0083739837,-0.00000000053643134379
36910.00,309.6938780027,154.2097947669,2.0082633433,-0.00000000054490101320
36920.00,309.6269487642,154.1807985702,2.0082069339,-0.00000000053427129387
36930.00,309.5612758653,154.1565813688,2.0080963986,-0.00000000055581494962
36940.00,309.4952224115,154.1342453677,2.0079588522,-0.00000000056354565459
36950.00,309.4278179975,154.1195373058,2.0077131258,-0.00000000055945292843
36960.00,309.3601559709,154.0818435553,2.0077651515,-0.00000000058361138144
36970.00,309.2956979931,154.0436744554,2.0078441980,-0.00000000059992544266
