Tempo decorrido,E[N],E[W],Lambda,Erro Little
2940.00,4.5643493775,2.2899636808,1.9931972789,0.00000000001288835705
2950.00,4.5650729339,2.2891322718,1.9942372881,0.00000000001310684894
2960.00,4.5677557127,2.2896794089,1.9949324324,0.00000000001380850989
2970.00,4.5628656574,2.2883672750,1.9939393939,0.00000000001471001099
2980.00,4.5619093815,2.2870945419,1.9946308725,0.00000000001590549914
2990.00,4.5528489415,2.2825315787,1.9946488294,0.00000000001553868145
3000.00,4.5536779155,2.2829267624,1.9946666667,0.00000000001620481527
3010.00,4.5444087619,2.2782595559,1.9946843854,0.00000000001484679046
3020.00,4.5395464932,2.2754241343,1.9950331126,0.00000000001481925693
3030.00,4.5275386692,2.2708892845,1.9937293729,0.00000000001291855511
3040.00,4.5235735436,2.2703753628,1.9924342105,0.00000000001345323852
3050.00,4.5114459780,2.2657517261,1.9911475410,0.00000000001324806931
3060.00,4.5017268999,2.2612088499,1.9908496732,0.00000000001264943705
3070.00,4.4907531073,2.2575097494,1.9892508143,0.00000000001413269501
3080.00,4.4815298118,2.2543053765,1.9879870130,0.00000000001236077907
3090.00,4.4729489612,2.2514110263,1.9867313916,0.00000000001114219828
3100.00,4.4639383148,2.2464624636,1.9870967742,0.00000000001068922728
3110.00,4.4615962670,2.2456003221,1.9868167203,0.00000000000903721542
3120.00,4.4667404553,2.2474165813,1.9875000000,0.00000000000767830244
3130.00,4.4564435680,2.2411099563,1.9884984026,0.00000000000746425144
3140.00,4.4569566030,2.2384586906,1.9910828025,0.00000000000760902452
3150.00,4.4655697238,2.2423951267,1.9914285714,0.00000000000611599660
3160.00,4.4588859227,2.2390083451,1.9914556962,0.00000000000664179822
3170.00,4.4580326219,2.2385495662,1.9914826498,0.00000000000530242517
3180.00,4.4478932171,2.2341336962,1.9908805031,0.00000000000557154323
3190.00,4.4493003184,2.2326990744,1.9927899687,0.00000000000458744154
3200.00,4.4666979377,2.2431628061,1.9912500000,0.00000000000565680836
3210.00,4.4582198189,2.2416800781,1.9887850467,0.00000000000478994622
3220.00,4.4502066436,2.2365639757,1.9897515528,0.00000000000347810669
3230.00,4.4445927777,2.2350980339,1.9885448916,0.00000000000275690581
3240.00,4.4412914620,2.2313202569,1.9904320988,0.00000000000128697053
3250.00,4.4340166647,2.2297004735,1.9886153846,0.00000000000170796710
3260.00,4.4410000341,2.2290469763,1.9923312883,0.00000000000194955163
3270.00,4.4525474204,2.2351596660,1.9920489297,0.00000000000264499533
3280.00,4.4512944050,2.2351876375,1.9914634146,0.00000000000122302168
3290.00,4.4429452007,2.2313066265,1.9911854103,0.00000000000195754524
3300.00,4.4370076113,2.2296520660,1.9900000000,0.00000000000190425453
3310.00,4.4334736643,2.2278423909,1.9900302115,0.00000000000191402449
3320.00,4.4271041805,2.2249448803,1.9897590361,0.00000000000261302091
3330.00,4.4183658979,2.2211893780,1.9891891892,0.00000000000229061214
3340.00,4.4096967622,2.2177965947,1.9883233533,0.00000000000209610107
3350.00,4.4073096053,2.2145623486,1.9901492537,0.00000000000228084218
3360.00,4.3987881881,2.2109092464,1.9895833333,0.00000000000206146211
3370.00,4.3967973774,2.2088859812,1.9905044510,0.00000000000306243919
3380.00,4.3965195403,2.2070750106,1.9920118343,0.00000000000126654243
3390.00,4.3989166842,2.2079253123,1.9923303835,0.00000000000055777605
3400.00,4.3889567849,2.2032264977,1.9920588235,-0.00000000000008348877
3410.00,4.3965553092,2.2053918218,1.9935483871,0.00000000000030464520
3420.00,4.4082168358,2.2121939220,1.9926900585,0.00000000000217603713
3430.00,4.4056641783,2.2108892658,1.9927113703,0.00000000000326494387
3440.00,4.3948280221,2.2086498752,1.9898255814,0.00000000000313082893
3450.00,4.3898897500,2.2038881894,1.9918840580,0.00000000000417621493
3460.00,4.3845142497,2.2021221228,1.9910404624,0.00000000000415933954
3470.00,4.3744832711,2.1983283057,1.9899135447,0.00000000000318411963
3480.00,4.3656311583,2.1935311046,1.9902298851,0.00000000000445510295
3490.00,4.3615030895,2.1920572843,1.9896848138,0.00000000000411137790
3500.00,4.3716325186,2.1939652732,1.9925714286,0.00000000000415134593
3510.00,4.3894532692,2.2032004826,1.9923076923,0.00000000000295141689
3520.00,4.3805506908,2.2002766027,1.9909090909,0.00000000000236255460
3530.00,4.3694873116,2.1965665352,1.9892351275,0.00000000000150812696
3540.00,4.3592197694,2.1916827132,1.9889830508,0.00000000000170619074
3550.00,4.3565953741,2.1897088458,1.9895774648,0.00000000000296029867
3560.00,4.3533480254,2.1865009834,1.9910112360,0.00000000000301536573
3570.00,4.3621621596,2.1893601729,1.9924369748,0.00000000000424638102
3580.00,4.3607165542,2.1886114207,1.9924581006,0.00000000000481747975
3590.00,4.3552995040,2.1861752264,1.9922005571,0.00000000000472599737
3600.00,4.3637571741,2.1876515564,1.9947222222,0.00000000000439737136
3610.00,4.3750958045,2.1939291366,1.9941828255,0.00000000000377031739
3620.00,4.3723917779,2.1913413036,1.9953038674,0.00000000000497557551
3630.00,4.3906752087,2.1989722692,1.9966942149,0.00000000000461142236
3640.00,4.4103204941,2.2078897811,1.9975274725,0.00000000000341771056
3650.00,4.4083799645,2.2081222547,1.9964383562,0.00000000000305799830
3660.00,4.3999718419,2.2048051672,1.9956284153,0.00000000000294075875
3670.00,4.3904200900,2.2018094739,1.9940054496,0.00000000000369038133
3680.00,4.3816394539,2.1982867335,1.9932065217,0.00000000000216537899
3690.00,4.3801377876,2.1978118624,1.9929539295,0.00000000000108002496
3700.00,4.3824676544,2.1968744508,1.9948648649,0.00000000000168309811
3710.00,4.3898169570,2.2017332581,1.9938005391,-0.00000000000018030022
3720.00,4.3947380183,2.2018081385,1.9959677419,0.00000000000057287508
3730.00,4.4166412134,2.2121756044,1.9965147453,-0.00000000000000088818
3740.00,4.4458305240,2.2258910522,1.9973262032,-0.00000000000076383344
3750.00,4.4631554697,2.2357511370,1.9962666667,-0.00000000000066258110
3760.00,4.4654590516,2.2368939560,1.9962765957,-0.00000000000125055521
3770.00,4.4683822643,2.2371581855,1.9973474801,-0.00000000000019007018
3780.00,4.4678863989,2.2360135824,1.9981481481,-0.00000000000074784623
3790.00,4.4591140246,2.2336825474,1.9963060686,-0.00000000000080380147
3800.00,4.4538498855,2.2301527955,1.9971052632,-0.00000000000323563398
3810.00,4.4527983380,2.2278610201,1.9986876640,-0.00000000000494271291
3820.00,4.4486496041,2.2257814653,1.9986910995,-0.00000000000325517391
3830.00,4.4403570798,2.2233713708,1.9971279373,-0.00000000000401811917
